W&B run initialized: https://wandb.ai/qifan_wen-ohio-state-university/snake-surrogate-data/runs/03jdvkk9
[monitor] 35/50,000,000 (0.0%) | FPS cur=1 roll=1 | ETA 11912.0h | NaN=0 respawns=0 | disk 0.0GB used, 41.8GB free
[monitor] 1,294/50,000,000 (0.0%) | FPS cur=42 roll=22 | ETA 644.3h | NaN=0 respawns=0 | disk 0.0GB used, 41.8GB free
[monitor] 2,705/50,000,000 (0.0%) | FPS cur=47 roll=30 | ETA 462.3h | NaN=0 respawns=0 | disk 0.0GB used, 41.8GB free
[monitor] 4,066/50,000,000 (0.0%) | FPS cur=45 roll=34 | ETA 410.0h | NaN=0 respawns=0 | disk 0.0GB used, 41.8GB free
[monitor] 5,510/50,000,000 (0.0%) | FPS cur=48 roll=37 | ETA 378.4h | NaN=0 respawns=0 | disk 0.0GB used, 41.8GB free
[monitor] 6,761/50,000,000 (0.0%) | FPS cur=42 roll=38 | ETA 370.0h | NaN=0 respawns=0 | disk 0.0GB used, 41.8GB free
[monitor] 8,140/50,000,000 (0.0%) | FPS cur=46 roll=39 | ETA 358.5h | NaN=0 respawns=0 | disk 0.0GB used, 41.8GB free
[monitor] 9,327/50,000,000 (0.0%) | FPS cur=40 roll=39 | ETA 357.5h | NaN=0 respawns=0 | disk 0.0GB used, 41.8GB free
[monitor] 10,657/50,000,000 (0.0%) | FPS cur=44 roll=39 | ETA 352.1h | NaN=0 respawns=0 | disk 0.0GB used, 41.8GB free
[monitor] 12,164/50,000,000 (0.0%) | FPS cur=50 roll=41 | ETA 342.7h | NaN=0 respawns=0 | disk 0.0GB used, 41.8GB free
[monitor] 13,427/50,000,000 (0.0%) | FPS cur=42 roll=41 | ETA 341.6h | NaN=0 respawns=0 | disk 0.0GB used, 41.8GB free
[monitor] 14,623/50,000,000 (0.0%) | FPS cur=40 roll=41 | ETA 342.1h | NaN=0 respawns=0 | disk 0.0GB used, 41.8GB free
[monitor] 16,012/50,000,000 (0.0%) | FPS cur=46 roll=41 | ETA 338.5h | NaN=0 respawns=0 | disk 0.0GB used, 41.8GB free
[monitor] 17,414/50,000,000 (0.0%) | FPS cur=47 roll=41 | ETA 335.2h | NaN=0 respawns=0 | disk 0.0GB used, 41.8GB free
[monitor] 18,883/50,000,000 (0.0%) | FPS cur=49 roll=42 | ETA 331.2h | NaN=0 respawns=0 | disk 0.0GB used, 41.8GB free
[monitor] 20,296/50,000,000 (0.0%) | FPS cur=47 roll=42 | ETA 328.6h | NaN=0 respawns=0 | disk 0.0GB used, 41.8GB free
[monitor] 21,733/50,000,000 (0.0%) | FPS cur=48 roll=43 | ETA 326.1h | NaN=0 respawns=0 | disk 0.0GB used, 41.8GB free
[monitor] 23,157/50,000,000 (0.0%) | FPS cur=47 roll=43 | ETA 324.0h | NaN=0 respawns=0 | disk 0.0GB used, 41.8GB free
[monitor] 24,397/50,000,000 (0.0%) | FPS cur=41 roll=43 | ETA 324.6h | NaN=0 respawns=0 | disk 0.0GB used, 41.8GB free
[monitor] 25,694/50,000,000 (0.1%) | FPS cur=43 roll=43 | ETA 324.5h | NaN=0 respawns=0 | disk 0.0GB used, 41.8GB free
